building_type,climate_zone,budget_level,area_sqft,floors,ceiling_height,occupancy,operating_hours,building_age,outdoor_temp,humidity,insulation,glass_ratio,recommended_hvac
Office,Warm,Low,13184.14,1.0,10.85,753.0,10.0,23.0,24.27,28.95,Poor,High,Multi-Split
Retail,Hot,Medium,32747.57,1.0,15.81,4099.0,12.0,25.0,35.62,49.01,Average,High,VRF
Office,Humid,Low,30065.3,4.0,11.1,2767.0,9.0,40.0,31.24,84.49,,Medium,VRF
Office,Warm,Low,10194.73,1.0,11.22,615.0,11.0,23.0,37.44,59.82,Poor,High,Split AC
Residential,Warm,Low,2496.11,1.0,8.49,18.0,12.0,19.0,25.8,48.18,Average,Low,Split AC
Hospital,Hot,Medium,143137.14,3.0,13.9,8223.0,21.0,49.0,41.77,44.87,Poor,Medium,Central Chiller
Hospital,Cold,Medium,173596.49,9.0,12.95,19196.0,21.0,0.0,17.29,42.28,Good,Low,Central Chiller
Residential,Hot,Medium,,1.0,10.21,32.0,12.0,0.0,37.15,51.79,Average,Low,Multi-Split
Residential,Hot,Low,2604.77,1.0,8.05,40.0,13.0,0.0,37.75,44.91,Poor,Medium,Multi-Split
Residential,Cold,Low,2239.39,2.0,8.23,47.0,7.0,11.0,18.38,40.14,Poor,Medium,Split AC
Industrial,Hot,Medium,98217.07,4.0,17.64,5062.0,23.0,19.0,35.31,33.59,Good,Low,VRF
Office,Humid,High,5016.29,1.0,13.51,250.0,8.0,2.0,33.6,88.8,Good,Medium,Multi-Split
Office,Cold,Low,29180.1,1.0,,1287.0,9.0,6.0,,28.12,Poor,Medium,VRF
Residential,Warm,Low,3161.22,1.0,8.68,46.0,9.0,23.0,25.84,69.45,Poor,Low,Multi-Split
Hospital,Cold,Low,113626.85,5.0,17.64,8921.0,21.0,13.0,14.62,,Poor,Low,Central Chiller
Residential,Hot,Medium,1910.57,1.0,10.2,36.0,10.0,16.0,35.35,40.28,Average,Low,Split AC
Residential,Hot,Medium,1872.96,1.0,10.53,44.0,6.0,20.0,44.61,42.25,Average,Low,Split AC
Hospital,Humid,Medium,69133.26,4.0,10.77,5548.0,21.0,,29.64,85.68,Average,Medium,Central Chiller
Residential,Hot,Medium,500.0,1.0,8.02,2.0,12.0,19.0,38.67,35.1,Average,Low,Multi-Split
Office,Warm,Low,12220.8,1.0,13.98,999.0,9.0,48.0,32.71,42.81,Average,High,Multi-Split
Office,Hot,High,27448.82,1.0,11.21,1009.0,9.0,33.0,27.51,27.65,Good,Medium,VRF
Retail,Cold,Medium,66066.2,4.0,12.47,8392.0,13.0,18.0,19.07,32.96,Poor,High,Central Chiller
Office,Humid,Medium,32765.18,2.0,13.6,,10.0,46.0,31.06,94.55,Average,High,Packaged Unit
Residential,Humid,Low,1772.88,1.0,9.73,26.0,12.0,30.0,28.82,68.2,Average,Medium,Split AC
Retail,Hot,Low,68199.79,4.0,17.16,7562.0,15.0,16.0,35.4,47.68,Average,High,Packaged Unit
Office,Warm,Low,17507.22,2.0,13.42,518.0,8.0,31.0,30.44,52.9,Poor,Medium,VRF
Office,Hot,Low,32121.21,1.0,11.81,2453.0,10.0,34.0,38.08,16.8,Average,High,Packaged Unit
Office,Hot,Medium,34391.56,1.0,13.18,1920.0,8.0,28.0,36.76,37.99,Average,High,VRF
Retail,Hot,Low,17365.16,1.0,13.66,1222.0,13.0,8.0,42.62,26.11,Average,Medium,VRF
Retail,Hot,High,51601.25,2.0,14.96,2750.0,10.0,13.0,37.84,9.52,Average,High,VRF
Hospital,Humid,,98808.23,4.0,12.94,9881.0,23.0,42.0,32.43,96.66,Poor,Medium,VRF
Office,Humid,Medium,31371.71,1.0,10.25,973.0,10.0,23.0,41.4,90.49,Poor,High,Packaged Unit
Office,Hot,Medium,28896.26,1.0,12.89,1750.0,9.0,33.0,40.46,32.55,Poor,High,Central Chiller
Residential,Hot,High,1509.94,1.0,10.76,44.0,7.0,32.0,35.36,47.08,Good,Low,Split AC
Office,Hot,Medium,28973.76,1.0,13.24,857.0,9.0,17.0,43.3,48.27,Average,Medium,Packaged Unit
Hospital,Humid,High,127898.72,7.0,14.09,7873.0,22.0,34.0,31.71,90.94,Good,Low,Central Chiller
Industrial,Humid,Medium,31707.62,1.0,21.93,2314.0,12.0,46.0,35.31,98.03,Average,Low,VRF
Office,Hot,Low,14769.49,1.0,11.21,704.0,9.0,40.0,38.89,35.88,Poor,High,Multi-Split
Office,Warm,Medium,41541.64,2.0,11.45,2344.0,8.0,29.0,27.76,,Good,High,VRF
Retail,Hot,Medium,37191.18,2.0,17.87,3396.0,15.0,4.0,30.82,36.7,Average,High,Packaged Unit
Residential,Humid,Medium,1411.19,1.0,9.71,38.0,9.0,24.0,41.69,91.98,Average,Medium,Split AC
Office,Hot,Medium,28492.53,4.0,12.87,1591.0,10.0,11.0,36.97,23.87,Average,High,VRF
Office,Cold,Medium,500.0,1.0,11.76,36.0,9.0,36.0,8.31,27.82,Good,Medium,Split AC
Hospital,Cold,Medium,87324.44,6.0,14.44,3442.0,20.0,56.0,17.44,19.45,Good,Medium,Central Chiller
Residential,Hot,Medium,2469.41,3.0,10.91,52.0,12.0,16.0,38.51,37.5,Average,Low,VRF
,Cold,High,9257.51,1.0,13.79,823.0,,34.0,10.88,35.46,Good,Medium,Packaged Unit
Residential,Hot,Medium,1580.2,1.0,8.83,,12.0,18.0,35.4,46.1,Poor,Low,Multi-Split
Industrial,Humid,Medium,93742.19,5.0,22.63,,22.0,19.0,35.29,84.65,Good,Medium,VRF
Hospital,Hot,Low,65111.36,2.0,14.63,9163.0,20.0,31.0,34.52,39.89,Poor,Low,Central Chiller
Office,Hot,,14422.9,2.0,10.21,835.0,8.0,5.0,39.96,35.22,Poor,High,Multi-Split
Residential,Warm,High,2266.75,1.0,9.51,24.0,10.0,11.0,29.09,64.39,Good,Low,Split AC
Residential,Humid,Medium,3467.2,1.0,9.1,94.0,8.0,20.0,30.62,86.42,Good,Low,Multi-Split
Residential,Warm,Medium,2290.54,1.0,10.92,51.0,12.0,16.0,31.23,70.68,Average,Low,Split AC
Retail,Cold,Medium,38392.81,2.0,14.46,4995.0,13.0,9.0,8.89,29.97,Average,Medium,Packaged Unit
Retail,Humid,Medium,71203.89,2.0,12.91,4686.0,15.0,24.0,38.16,110.88,Good,Medium,Multi-Split
Residential,Cold,Low,2199.81,1.0,9.25,51.0,,0.0,17.39,17.75,Average,Low,Split AC
Office,Cold,High,22495.98,1.0,12.84,1057.0,8.0,19.0,18.73,37.2,Excellent,High,VRF
Industrial,Humid,Medium,45544.06,1.0,23.45,4082.0,21.0,31.0,26.56,78.03,Average,Low,Packaged Unit
Office,Humid,Low,15739.11,1.0,10.66,1217.0,9.0,20.0,33.39,66.55,Average,Medium,Multi-Split
Industrial,Hot,Medium,101705.21,1.0,22.68,6810.0,21.0,15.0,31.58,36.51,Average,Medium,Central Chiller
Residential,Hot,Medium,500.0,2.0,10.22,7.0,11.0,21.0,36.32,40.39,Poor,Low,Multi-Split
Industrial,Cold,Medium,128760.9,5.0,32.49,4695.0,14.0,36.0,20.4,,Average,Medium,VRF
Industrial,Hot,Medium,156196.84,6.0,17.82,3876.0,19.0,6.0,43.66,44.49,Good,Low,Central Chiller
Residential,Hot,Medium,1568.9,1.0,8.99,32.0,7.0,30.0,34.92,33.66,Average,Medium,Split AC
Office,Warm,High,12447.05,1.0,11.97,1210.0,9.0,55.0,,53.52,Excellent,Medium,Multi-Split
Residential,Hot,High,2486.0,1.0,10.27,51.0,13.0,43.0,42.56,38.98,Good,Low,Split AC
Industrial,Warm,Low,63120.47,3.0,19.65,,12.0,20.0,31.54,54.13,Poor,Medium,Split AC
Residential,Warm,Medium,1594.93,1.0,9.59,30.0,,27.0,31.16,47.29,Poor,Low,Multi-Split
Residential,Warm,Medium,2576.98,1.0,9.53,34.0,10.0,7.0,19.87,47.73,Good,Low,Multi-Split
Residential,Hot,High,1700.77,1.0,9.13,35.0,8.0,38.0,41.16,37.64,Excellent,Low,Split AC
Retail,Warm,Low,52534.97,4.0,14.73,,13.0,21.0,23.81,46.18,Average,Medium,Packaged Unit
Office,Humid,Low,25054.96,1.0,11.85,2033.0,8.0,25.0,35.76,95.88,Poor,High,VRF
Residential,Warm,Medium,2284.13,1.0,8.55,33.0,,13.0,23.95,31.53,Poor,Low,Split AC
Office,Cold,Medium,20626.17,1.0,11.28,2100.0,11.0,3.0,17.75,39.86,Average,High,VRF
Industrial,Humid,Low,68614.54,4.0,28.61,2612.0,12.0,25.0,31.7,88.9,Poor,,Packaged Unit
Hospital,Warm,Medium,112304.74,6.0,12.03,18196.0,23.0,11.0,25.15,57.24,Average,Medium,Central Chiller
Residential,Cold,Low,1799.06,1.0,9.32,30.0,8.0,16.0,13.9,43.73,Average,Low,Split AC
Office,Hot,Medium,33327.08,2.0,10.91,3887.0,8.0,56.0,41.19,47.96,Good,Medium,Multi-Split
Office,Humid,Low,22062.64,1.0,11.96,1194.0,8.0,27.0,34.14,86.4,Average,High,VRF
Industrial,,Low,76326.13,5.0,15.14,4933.0,18.0,19.0,35.01,78.36,Average,Medium,Packaged Unit
Residential,Warm,Medium,1445.78,1.0,9.32,31.0,6.0,32.0,28.21,37.85,Average,Low,Packaged Unit
Hospital,Hot,Low,148967.34,10.0,12.86,12307.0,20.0,35.0,37.6,32.79,Average,Low,Central Chiller
Hospital,Warm,Low,123924.44,9.0,10.48,9357.0,20.0,9.0,26.07,35.95,Poor,Medium,Central Chiller
Residential,Warm,Medium,1526.55,1.0,8.58,26.0,10.0,15.0,35.16,50.36,Average,Low,Split AC
Retail,Warm,Medium,23860.43,2.0,16.3,1496.0,15.0,10.0,30.51,48.76,Average,Medium,VRF
Residential,Hot,Low,878.78,1.0,10.05,25.0,12.0,34.0,35.61,23.26,Average,Low,Split AC
Residential,Humid,Medium,2270.84,2.0,9.21,47.0,7.0,5.0,25.21,76.06,Average,Low,Split AC
Residential,Warm,Medium,2172.04,1.0,8.45,46.0,6.0,27.0,24.5,48.21,Average,Low,Split AC
Residential,Warm,Low,2052.26,1.0,9.02,34.0,6.0,7.0,37.84,45.42,Poor,Low,VRF
Industrial,Humid,Medium,117453.45,6.0,31.4,5279.0,12.0,59.0,32.86,65.1,Poor,Low,Packaged Unit
Office,Humid,Low,16901.46,1.0,12.28,1283.0,11.0,23.0,35.18,89.84,Poor,High,Multi-Split
Office,Hot,Low,25078.22,,13.08,1531.0,8.0,22.0,35.86,68.92,Average,Medium,VRF
Residential,Hot,Low,1994.85,1.0,,20.0,6.0,28.0,36.48,35.65,Average,Medium,Multi-Split
Residential,Warm,Medium,2808.23,1.0,8.77,58.0,13.0,30.0,34.9,53.38,Average,Medium,Multi-Split
Residential,,Low,1385.43,1.0,10.14,25.0,6.0,34.0,34.07,26.04,Poor,Medium,Multi-Split
Hospital,Humid,High,108976.79,5.0,13.32,8651.0,20.0,25.0,28.9,90.59,Good,Low,Central Chiller
Residential,Hot,Medium,2598.05,1.0,10.91,49.0,7.0,43.0,33.99,36.4,Poor,Low,Multi-Split
Industrial,Hot,Low,113077.56,6.0,32.26,4273.0,12.0,40.0,31.22,48.2,Average,Low,VRF
Retail,Warm,Medium,62980.74,4.0,16.16,6428.0,15.0,22.0,30.09,31.46,Average,High,Packaged Unit
Office,Hot,Low,27425.98,3.0,12.28,2278.0,8.0,12.0,44.95,29.28,Poor,High,VRF
Residential,Warm,Medium,2711.64,1.0,8.1,49.0,10.0,25.0,26.79,53.73,Poor,Low,Multi-Split
Residential,Warm,Medium,1130.63,2.0,,33.0,10.0,,30.92,38.67,Good,Low,Split AC
Residential,Cold,Low,2044.95,1.0,9.28,36.0,11.0,16.0,15.14,36.45,Average,Medium,Split AC
Office,Hot,Medium,15560.5,1.0,13.69,1172.0,8.0,0.0,42.64,18.61,Good,Medium,Multi-Split
Retail,Cold,Low,41789.38,1.0,12.23,2602.0,14.0,27.0,15.09,30.21,Average,High,VRF
Retail,Hot,Medium,12568.95,1.0,16.29,1697.0,13.0,6.0,38.53,36.19,Average,High,Packaged Unit
Residential,Humid,Medium,875.65,1.0,9.39,22.0,12.0,4.0,35.98,85.46,Poor,Low,Packaged Unit
Residential,Hot,Medium,2679.51,1.0,8.55,29.0,13.0,21.0,41.9,60.55,,Low,Multi-Split
Hospital,Hot,High,149127.25,7.0,,10564.0,23.0,0.0,32.06,22.29,Good,Low,Central Chiller
Residential,Hot,High,2642.05,1.0,9.3,81.0,11.0,15.0,43.33,49.29,Average,Low,Multi-Split
Retail,Hot,High,56114.64,5.0,14.02,5089.0,11.0,0.0,33.34,45.93,Average,High,VRF
Residential,Hot,Low,2507.95,1.0,10.48,68.0,13.0,37.0,37.63,29.18,Poor,Low,Multi-Split
Industrial,Warm,Low,81276.53,5.0,17.31,4499.0,22.0,18.0,22.57,44.85,,Low,Packaged Unit
Retail,Humid,Medium,56756.82,3.0,15.76,4560.0,10.0,1.0,33.5,92.78,Average,High,VRF
Office,Warm,Low,38215.96,3.0,11.89,2921.0,8.0,31.0,36.56,46.95,Poor,Medium,Multi-Split
Residential,Cold,High,2089.68,1.0,8.81,59.0,10.0,14.0,14.43,33.35,Excellent,,Split AC
Office,Warm,Medium,24840.01,1.0,11.33,1778.0,10.0,41.0,31.76,32.65,Good,High,VRF
Hospital,Warm,Medium,175643.37,9.0,11.68,8017.0,22.0,67.0,24.25,44.85,Good,Low,Central Chiller
Residential,Humid,Medium,1711.44,1.0,10.19,25.0,10.0,19.0,32.54,81.95,Good,Low,Split AC
Retail,Hot,Low,33932.47,4.0,14.42,5110.0,15.0,19.0,37.08,28.63,Poor,High,Central Chiller
Retail,Warm,Medium,26920.07,1.0,14.89,1648.0,12.0,3.0,32.25,57.36,Good,High,Multi-Split
Residential,Hot,Low,960.18,1.0,9.0,15.0,7.0,13.0,33.02,51.41,Poor,Low,Split AC
Residential,Cold,Low,974.32,1.0,8.52,15.0,9.0,23.0,12.35,30.01,Poor,Low,Split AC
Residential,Hot,Medium,1331.06,,9.33,18.0,8.0,31.0,42.73,39.34,Average,Low,Packaged Unit
Industrial,Humid,Low,67467.22,1.0,27.9,4081.0,19.0,0.0,31.66,93.94,Average,Low,Packaged Unit
Residential,Humid,Medium,633.32,1.0,8.54,9.0,8.0,17.0,37.67,90.01,Good,Low,Multi-Split
Office,Hot,High,25133.14,1.0,12.83,1599.0,10.0,36.0,40.62,40.49,Good,,VRF
Residential,Hot,Low,1808.21,1.0,9.63,25.0,10.0,18.0,42.45,46.85,Average,Low,Multi-Split
Office,Cold,High,41824.11,1.0,11.87,3229.0,,22.0,11.41,51.03,Excellent,Medium,VRF
Hospital,Warm,Low,116857.33,8.0,15.54,17205.0,20.0,25.0,32.06,65.51,Poor,Low,Central Chiller
Residential,Cold,High,1758.24,1.0,10.93,32.0,8.0,28.0,7.55,45.18,Good,Medium,VRF
Residential,Humid,High,1307.64,1.0,8.0,25.0,8.0,28.0,30.64,89.4,Good,Low,Split AC
Residential,Humid,Low,1606.79,1.0,9.76,19.0,8.0,19.0,30.86,,Average,Low,Split AC
Industrial,Hot,Low,98947.44,5.0,24.54,5126.0,19.0,22.0,41.41,51.15,Average,Low,VRF
Office,Humid,Low,36300.36,3.0,12.09,1983.0,11.0,10.0,36.74,92.77,Poor,High,Packaged Unit
Office,Humid,Low,9996.24,1.0,11.26,611.0,8.0,14.0,31.77,76.54,Average,High,VRF
Residential,Warm,Medium,1241.19,1.0,8.49,35.0,8.0,18.0,32.74,60.7,Average,Medium,Multi-Split
Residential,Hot,High,2533.88,1.0,9.76,65.0,11.0,20.0,35.72,38.13,Average,Medium,Multi-Split
Retail,Warm,High,67674.4,4.0,13.76,4292.0,15.0,21.0,25.99,40.78,Excellent,Medium,VRF
Residential,Cold,High,1662.0,1.0,9.41,57.0,8.0,17.0,14.27,29.04,Good,Low,Multi-Split
Office,Warm,Low,10411.51,1.0,11.48,681.0,9.0,,30.04,36.64,Average,Medium,Multi-Split
Retail,Cold,Low,,1.0,13.74,8699.0,14.0,18.0,20.11,12.55,Poor,High,Central Chiller
Retail,Cold,High,22831.0,1.0,14.64,2439.0,12.0,14.0,14.99,29.56,Good,High,VRF
Industrial,Hot,Medium,49764.69,2.0,25.65,1754.0,17.0,10.0,34.91,57.27,Average,Low,Multi-Split
Residential,Hot,,1381.76,1.0,10.74,26.0,9.0,34.0,44.77,40.31,Poor,Low,Split AC
Office,Humid,High,48200.32,3.0,13.53,3974.0,11.0,20.0,39.03,96.23,Good,High,Central Chiller
Industrial,Hot,Medium,44153.24,2.0,21.39,,16.0,37.0,33.02,44.5,Average,Low,VRF
Residential,Warm,Low,1993.19,3.0,10.7,18.0,10.0,15.0,29.87,62.1,Poor,Low,Split AC
Retail,Warm,High,24862.98,1.0,14.62,1935.0,10.0,7.0,39.32,51.68,Good,Medium,VRF
Retail,Warm,Low,48733.31,1.0,16.52,6183.0,12.0,31.0,30.42,45.97,Poor,Medium,Packaged Unit
Office,Hot,High,16021.65,1.0,11.67,1141.0,9.0,17.0,40.76,40.18,Average,High,Multi-Split
Hospital,Hot,High,129753.85,8.0,12.95,8753.0,22.0,14.0,38.94,24.31,Excellent,Medium,Central Chiller
Office,Cold,Medium,21701.73,1.0,10.39,2583.0,10.0,6.0,12.78,20.98,Poor,Medium,VRF
Residential,Hot,Low,3263.77,1.0,8.42,48.0,6.0,14.0,34.18,39.7,Poor,Medium,Split AC
Residential,Hot,High,1726.77,2.0,8.33,54.0,8.0,39.0,44.54,39.44,Good,Low,Split AC
Hospital,Warm,Low,132650.42,3.0,14.85,10494.0,20.0,40.0,32.06,43.51,Average,Medium,Central Chiller
Retail,Hot,Medium,53484.45,3.0,16.65,11521.0,10.0,20.0,32.06,33.29,Average,High,Packaged Unit
Retail,Cold,Medium,10667.64,2.0,16.21,2118.0,13.0,25.0,7.5,32.85,Average,Medium,Packaged Unit
Office,Cold,Medium,7473.99,2.0,11.2,381.0,8.0,21.0,17.31,48.35,Average,Medium,Multi-Split
Residential,Humid,Medium,1451.2,1.0,8.38,15.0,7.0,14.0,29.64,91.87,Poor,Low,Split AC
Residential,Warm,High,2735.47,1.0,9.64,26.0,11.0,26.0,32.67,33.15,Excellent,Medium,Multi-Split
Residential,Humid,Medium,1496.34,1.0,9.54,15.0,6.0,20.0,30.58,73.99,Average,Low,Split AC
Industrial,Hot,Medium,54016.48,2.0,22.32,3218.0,23.0,0.0,35.9,29.03,Good,Medium,Packaged Unit
Hospital,Hot,Low,171002.43,12.0,13.91,20115.0,23.0,38.0,37.58,57.75,Average,Medium,Central Chiller
Retail,Warm,Medium,12457.69,1.0,15.7,730.0,15.0,0.0,25.65,33.76,Average,High,Packaged Unit
Residential,Humid,Medium,637.92,1.0,10.73,15.0,10.0,23.0,25.95,76.16,Average,Low,Split AC
Office,Warm,High,20633.04,1.0,10.72,1324.0,8.0,35.0,37.28,49.17,Good,High,VRF
,,High,59275.4,2.0,13.98,6636.0,15.0,0.0,32.85,58.62,Good,High,VRF
Residential,Cold,Low,1410.09,1.0,9.02,11.0,12.0,19.0,22.57,34.78,Poor,Low,Split AC
Residential,Cold,Low,2404.01,1.0,10.32,23.0,12.0,26.0,12.37,38.3,Average,Low,Split AC
Residential,Humid,High,2793.84,1.0,10.99,103.0,13.0,25.0,35.83,96.78,Good,Low,Multi-Split
Industrial,Humid,High,94284.76,4.0,22.43,4278.0,21.0,43.0,32.93,69.92,,Low,VRF
Industrial,Warm,Low,56549.91,3.0,29.84,4320.0,13.0,43.0,27.78,60.38,Poor,Low,Central Chiller
Office,Cold,Medium,34170.56,2.0,10.23,3757.0,11.0,45.0,6.79,41.32,,High,Packaged Unit
Residential,Warm,Medium,1426.87,1.0,8.74,30.0,13.0,29.0,25.77,59.84,Average,Low,Split AC
Hospital,Humid,Low,108161.97,9.0,14.14,9578.0,23.0,0.0,28.21,81.09,Average,Low,Central Chiller
Residential,Warm,Low,1625.42,1.0,8.18,32.0,12.0,17.0,30.36,57.88,Poor,Low,Split AC
Office,Humid,High,32134.31,1.0,11.16,1777.0,11.0,4.0,33.14,83.28,Good,Medium,Packaged Unit
Office,Warm,Low,36704.73,2.0,11.22,1816.0,8.0,0.0,30.11,58.94,Poor,,VRF
Hospital,Humid,High,92060.21,4.0,10.56,8307.0,23.0,0.0,29.67,90.3,Excellent,Low,VRF
Office,Hot,High,25425.98,1.0,13.8,690.0,8.0,13.0,33.29,44.69,Good,High,VRF
Industrial,Cold,Low,114214.08,6.0,19.39,4328.0,18.0,17.0,11.25,29.78,Poor,Low,Central Chiller
Retail,Hot,Low,54659.28,1.0,15.04,7525.0,13.0,0.0,40.55,51.54,Average,High,VRF
Residential,Warm,Low,732.07,1.0,8.15,16.0,10.0,16.0,25.44,50.19,Poor,Medium,Split AC
Retail,Hot,High,28133.22,3.0,13.37,3263.0,13.0,21.0,34.71,29.61,Excellent,Medium,Central Chiller
Retail,Hot,Medium,62995.59,3.0,16.45,5432.0,12.0,19.0,41.46,45.07,Average,High,Packaged Unit
Residential,Cold,Low,1623.87,1.0,9.25,44.0,6.0,14.0,12.33,36.09,Poor,Medium,Split AC
Residential,Hot,Low,722.84,1.0,8.14,11.0,10.0,32.0,43.36,22.51,Poor,Low,Split AC
Residential,Humid,Low,563.22,1.0,9.24,10.0,8.0,33.0,31.67,100.2,Poor,Medium,Split AC
Retail,Humid,Low,500.0,1.0,15.33,31.0,14.0,11.0,32.94,82.08,Average,High,Packaged Unit
Residential,Hot,Medium,1912.0,1.0,9.37,33.0,8.0,39.0,41.61,28.69,Good,Medium,Packaged Unit
Residential,Warm,Medium,2421.17,1.0,8.73,59.0,12.0,30.0,35.08,41.79,Good,Low,Split AC
Residential,Hot,Medium,2722.83,2.0,8.77,53.0,6.0,24.0,,55.43,Poor,Low,Multi-Split
Residential,Hot,Medium,1970.43,1.0,9.94,40.0,9.0,0.0,36.69,22.37,Average,Low,Split AC
Residential,Hot,High,1352.42,1.0,9.95,24.0,10.0,18.0,43.83,55.39,Good,Low,Central Chiller
Residential,Humid,Low,1945.52,1.0,10.58,51.0,6.0,40.0,33.8,84.5,Poor,Low,Split AC
Industrial,Cold,Medium,118418.52,6.0,21.14,4447.0,,16.0,14.36,29.45,Good,Low,Central Chiller
Residential,Cold,High,1434.06,,8.89,25.0,7.0,23.0,9.27,38.75,Excellent,Medium,Split AC
Residential,Humid,High,2594.85,2.0,9.11,22.0,9.0,11.0,26.28,80.0,Excellent,Low,Multi-Split
Industrial,Humid,High,57227.02,2.0,22.09,1721.0,19.0,42.0,28.18,76.14,Good,Low,Packaged Unit
Residential,Cold,Medium,991.18,1.0,9.76,25.0,12.0,26.0,12.79,25.94,Average,Low,Multi-Split
Office,Warm,Medium,13763.42,1.0,12.32,948.0,10.0,2.0,22.26,44.51,Average,High,Central Chiller
Residential,Hot,Medium,1100.25,1.0,9.82,19.0,8.0,29.0,41.09,56.07,Average,Low,Split AC
Industrial,Warm,Medium,84868.58,5.0,15.18,2019.0,12.0,,30.28,52.82,Good,Medium,Packaged Unit
Office,Humid,Low,35911.91,1.0,11.88,1209.0,11.0,53.0,24.13,109.19,Poor,High,Split AC
Residential,Hot,Medium,2584.68,1.0,9.51,57.0,8.0,12.0,31.72,45.1,Good,Low,Multi-Split
Residential,Warm,Low,2009.24,1.0,8.94,26.0,6.0,13.0,27.38,44.89,Average,Low,Split AC
Residential,Warm,Low,1434.0,1.0,8.11,22.0,13.0,9.0,26.52,69.5,Poor,Low,Split AC
Hospital,Cold,Low,64745.51,2.0,14.58,8838.0,22.0,51.0,11.79,25.53,Poor,Low,Central Chiller
Office,Warm,Medium,34062.92,1.0,10.5,1459.0,8.0,25.0,19.67,41.67,Good,High,VRF
Office,Warm,Low,21206.98,2.0,10.59,644.0,9.0,18.0,28.96,53.71,,High,VRF
Residential,Hot,Low,1503.42,1.0,10.37,11.0,7.0,15.0,38.09,59.13,Poor,Medium,Split AC
Hospital,Warm,Medium,170233.61,11.0,11.88,8359.0,23.0,17.0,34.55,44.71,Average,Low,Central Chiller
Residential,Cold,High,2344.32,1.0,8.04,46.0,9.0,21.0,7.29,38.91,Average,Medium,Split AC
Office,Cold,Medium,27349.14,1.0,12.34,1116.0,9.0,34.0,14.22,33.28,Poor,High,Split AC
Retail,Warm,High,24382.67,1.0,12.27,3802.0,15.0,17.0,28.33,33.16,Excellent,Medium,Central Chiller
Residential,Cold,Medium,1318.96,1.0,9.27,23.0,6.0,33.0,14.9,41.28,Poor,,Split AC
Residential,Humid,Low,2965.25,1.0,10.11,98.0,11.0,58.0,29.76,78.53,Average,Low,Multi-Split
Retail,Warm,Low,25260.63,1.0,13.98,3137.0,14.0,22.0,28.99,17.58,Average,High,Packaged Unit
Retail,,Low,51537.52,2.0,17.85,7349.0,11.0,21.0,14.83,30.58,Poor,Medium,Central Chiller
Residential,Warm,Medium,2443.44,1.0,8.13,44.0,6.0,23.0,29.42,55.41,Poor,Low,Split AC
Residential,Cold,High,2423.75,1.0,8.31,60.0,8.0,11.0,20.86,23.84,Excellent,Medium,Split AC
Residential,Warm,High,1652.8,1.0,10.64,31.0,,20.0,28.4,83.77,Excellent,Medium,Split AC
,Warm,Medium,59883.16,3.0,12.79,6038.0,12.0,6.0,33.37,42.17,Average,Medium,Packaged Unit
Residential,Cold,Medium,1688.11,1.0,9.53,40.0,9.0,32.0,12.48,19.8,Average,Medium,Split AC
Office,Warm,Medium,500.0,1.0,12.96,49.0,10.0,26.0,29.47,48.37,Good,High,Packaged Unit
Residential,Cold,Low,2563.83,1.0,10.48,27.0,12.0,10.0,13.03,14.9,Poor,Low,Multi-Split
Residential,Humid,Low,873.23,1.0,9.3,29.0,11.0,,30.39,81.22,Average,Medium,Split AC
Residential,Cold,Medium,609.17,1.0,8.67,13.0,,27.0,13.33,39.37,Average,Low,Split AC
Industrial,Warm,Low,144153.27,9.0,29.59,5247.0,15.0,3.0,24.71,45.28,Average,Medium,Packaged Unit
Residential,Warm,Low,1654.78,1.0,9.47,34.0,6.0,25.0,,46.54,Average,Low,Split AC
Residential,Hot,High,2110.3,1.0,10.48,89.0,7.0,0.0,41.02,45.24,Excellent,Medium,Split AC
Residential,Hot,Medium,637.1,1.0,10.18,7.0,13.0,40.0,37.18,21.79,Good,Low,Split AC
Residential,Cold,Low,1598.29,1.0,10.87,31.0,6.0,17.0,14.29,29.07,Average,Low,Split AC
Retail,Hot,High,29231.88,1.0,17.7,4045.0,14.0,10.0,35.0,18.38,Average,High,Central Chiller
Residential,Hot,Medium,720.76,1.0,8.59,14.0,9.0,3.0,36.49,43.86,Average,Low,Multi-Split
Retail,Hot,Low,31478.59,1.0,13.12,5094.0,14.0,2.0,36.95,18.06,Poor,High,VRF
Residential,Hot,Medium,1379.76,1.0,10.88,34.0,10.0,12.0,43.87,31.28,Good,Low,Split AC
Office,Warm,Medium,26495.14,2.0,12.63,720.0,8.0,41.0,32.55,66.98,Good,Medium,Multi-Split
Residential,Cold,Medium,1856.89,1.0,8.69,20.0,11.0,25.0,20.52,29.83,Poor,Low,Split AC
,Cold,Medium,2611.1,1.0,8.31,68.0,11.0,26.0,14.42,39.06,Poor,Low,Multi-Split
Office,Warm,Low,40110.18,4.0,11.12,3030.0,11.0,,24.65,45.61,Poor,High,Packaged Unit
Residential,Cold,High,3753.2,1.0,8.91,89.0,9.0,44.0,19.49,51.13,Good,Low,Split AC
Residential,Humid,High,3524.49,1.0,8.82,47.0,8.0,28.0,29.98,76.64,Average,Low,Central Chiller
Office,Humid,Medium,26346.23,1.0,13.65,2980.0,11.0,0.0,31.87,95.53,Good,High,VRF
Residential,Humid,Low,1972.83,1.0,9.97,28.0,13.0,30.0,37.62,74.66,Poor,,Split AC
Industrial,Hot,Medium,107130.27,5.0,16.47,5356.0,16.0,34.0,31.58,28.76,Average,Low,Central Chiller
